Altium Designer Pick and Place Locations
H:\Meu Drive\Formula Route UFSCar\3 - UFS01\Embedded, Telemetry & ECU\05 - ECTU (Engine Control and Telemetry Unit)\ECTU_Project\ECTU\Route-ECU-Hardware\Project Outputs for ECTU\Pick Place for ECTU_PCB.csv

========================================================================================================================
File Design Information:

Date:       22/08/25
Time:       10:36
Revision:   c62c5653a3873e1c79ffb7bbe7621221a6b09e28
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C72","0.1µF","BottomLayer","CAPC1608X90N","163.7030","118.1100","180","Multilayer Ceramic Capacitors MLCC - SMD/SMT"
"C71","0.1µF","TopLayer","CAPC1608X90N","110.4900","90.6780","90","Multilayer Ceramic Capacitors MLCC - SMD/SMT"
"J8","10µF","TopLayer","T491A106K010AT","119.2530","89.9190","270","Condensador electrolÃ­tico de tantalio sÃ³lido MnO2 de 10 ÂµF, 10 V CC +/-10 %, serie T491"
"FL","600/100MHz","TopLayer","BEADC1608X95N","115.9510","91.3130","0","600 Ohms @ 100MHz 1 Ferrite Bead 0603 _1608 Metric_ 700mA"
"D24","SMF5.0A","TopLayer","SODFL3718X102N","112.7760","89.7890","270","200W, 6.7V, 5%, Unidirectional, TVS"
"R107","47K","BottomLayer","RESC3116X65N","170.5610","48.1330","0",""
"J11","MCP2551T-I/SN","BottomLayer","SOIC8-N_MC","170.4236","43.9420","180","Microchip MCP2551T-I/SN, CAN Transceiver 1Mbit/s 1-channel ISO 11898, 8-Pin SOIC"
"C70","0.1µF","BottomLayer","CAPC1608X90N","175.2600","44.0690","270","Multilayer Ceramic Capacitors MLCC - SMD/SMT"
"C69","0.1µF","BottomLayer","CAPC1608X90N","165.2270","42.9260","270","Multilayer Ceramic Capacitors MLCC - SMD/SMT"
"C68","0.1µF","BottomLayer","CAPC1608X90N","165.7350","46.7360","90","Multilayer Ceramic Capacitors MLCC - SMD/SMT"
"R106","0.1","TopLayer","RES_ERJ6RSFR10V","57.6580","31.4960","90",""
"R105","0.1","TopLayer","RES_ERJ6RSFR10V","57.6580","69.5960","270",""
"R104","47K","TopLayer","RESC3116X65N","105.0290","50.2920","270",""
"R103","1K","TopLayer","RESC3116X65N","27.8130","32.3850","270","RES, THICK FILM, 1K, 5%, 0.25W, 1206; Resistance:1kohm; Resistance Tolerance:Â± 5%; Power Rating:250mW; Resistor Case Style:1206 ^3216 Metric]; Resistor Technology:Thick Film; Resistor Type:General Purpose; Product Range:RC Series"
"R102","47K","TopLayer","RESC3116X65N","105.0290","61.2140","270",""
"R101","0.1","TopLayer","RES_ERJ6RSFR10V","90.8050","71.8820","90",""
"R100","0.1","TopLayer","RES_ERJ6RSFR10V","90.9320","29.2100","270",""
"R99","47K","TopLayer","RESC3116X65N","105.0290","72.2190","270",""
"C67","0.1µF","TopLayer","CAPC1608X90N","60.1980","31.4960","90","Multilayer Ceramic Capacitors MLCC - SMD/SMT"
"C66","0.1µF","TopLayer","CAPC1608X90N","91.8210","44.8440","90","Multilayer Ceramic Capacitors MLCC - SMD/SMT"
"C65","0.1µF","TopLayer","CAPC1608X90N","107.4420","48.0060","270","Multilayer Ceramic Capacitors MLCC - SMD/SMT"
"C64","0.1µF","TopLayer","CAPC1608X90N","108.7120","56.1340","0","Multilayer Ceramic Capacitors MLCC - SMD/SMT"
"U15","2N7001TDCKR","TopLayer","SOT65P210X110-5N","60.6500","91.0740","0","1-bit dual-supply buffered voltage signal converter"
"U14","2N7001TDCKR","TopLayer","SOT65P210X110-5N","60.6500","84.8360","0","1-bit dual-supply buffered voltage signal converter"
"D22","SMF5.0A","TopLayer","SODFL3718X102N","67.1830","77.4700","270","200W, 6.7V, 5%, Unidirectional, TVS"
"C62","0.1µF","TopLayer","CAPC1608X90N","63.7540","83.4390","90","Multilayer Ceramic Capacitors MLCC - SMD/SMT"
"R89","4.7K","TopLayer","RESC3116X65N","47.1170","78.6130","0",""
"R95","10K","TopLayer","RESC3116X65N","46.3550","115.3160","270",""
"R96","10K","TopLayer","RESC3116X65N","43.6880","115.3160","270",""
"R94","10K","TopLayer","RESC3116X65N","47.1170","81.3223","180",""
"R93","10K","TopLayer","RESC3116X65N","47.1170","84.0317","180",""
"R97","4.7K","TopLayer","RESC3116X65N","46.9900","86.7410","0",""
"R98","1K","TopLayer","RESC3116X65N","66.1670","90.9320","90",""
"R92","10K","TopLayer","RESC3116X65N","74.9300","89.4910","90",""
"R91","10K","TopLayer","RESC3116X65N","64.5160","77.5970","90",""
"R90","1K","TopLayer","RESC3116X65N","66.0400","82.6770","270",""
"J10","M20-9990345","TopLayer","HARWIN_M20-9990345","56.1340","92.2020","90","2.54mm (0.1) Pitch SIL Vertical Throughboard Pin Header, 6.1mm mating pin height, gold (hi-temp mould), 3 contacts"
"J6","M20-9990345","TopLayer","HARWIN_M20-9990345","56.0070","80.7720","90","2.54mm (0.1) Pitch SIL Vertical Throughboard Pin Header, 6.1mm mating pin height, gold (hi-temp mould), 3 contacts"
"D23","SMF5.0A","TopLayer","SODFL3718X102N","64.7700","96.1900","90","200W, 6.7V, 5%, Unidirectional, TVS"
"C63","0.1µF","TopLayer","CAPC1608X90N","63.8810","89.7890","90","Multilayer Ceramic Capacitors MLCC - SMD/SMT"
"R8","6.8K","TopLayer","RESC3116X65N","136.7790","110.6170","90",""
"R7","10K","BottomLayer","RESC3116X65N","139.5730","112.6490","90",""
"R16","100K","BottomLayer","RESC3116X65N","140.7160","106.9340","0",""
"R14","31.6K","TopLayer","RESC3116X65N","139.4460","120.0150","270",""
"R27","150","BottomLayer","RESC3116X65N","136.7790","105.2830","90",""
"R6","100K","TopLayer","RESC3116X65N","149.0980","111.1250","90",""
"C41","0.1µF","TopLayer","CAPC1608X90N","141.4780","107.3150","0","Multilayer Ceramic Capacitors MLCC - SMD/SMT"
"C57","0.1µF","TopLayer","CAPC1608X90N","138.8110","124.2060","90","Multilayer Ceramic Capacitors MLCC - SMD/SMT"
"C55","2.2nF","TopLayer","CAPC1608X90N","146.1770","107.3150","180","Multilayer Ceramic Capacitors MLCC - SMD/SMT"
"C56","0.1µF","TopLayer","CAPC1608X90N","148.7170","115.4430","270","Multilayer Ceramic Capacitors MLCC - SMD/SMT"
"U18","2N7001TDCKR","TopLayer","SOT65P210X110-5N","60.7060","88.0110","0","1-bit dual-supply buffered voltage signal converter"
"U4","2N7001TDCKR","TopLayer","SOT65P210X110-5N","60.7060","81.7880","0","1-bit dual-supply buffered voltage signal converter"
"U22","MAX9924UAUB+T","TopLayer","*SOP50P490X110-10N","69.5960","90.4240","270",""
"U6","MAX9924UAUB+T","TopLayer","*SOP50P490X110-10N","71.2470","80.7720","90",""
"R23","10K","TopLayer","RESC3116X65N","59.1820","75.9460","270",""
"R15","4.7K","TopLayer","RESC3116X65N","74.6760","80.5180","90",""
"R41","10K","TopLayer","RESC3116X65N","61.8490","97.1550","90",""
"R35","4.7K","TopLayer","RESC3116X65N","70.6120","85.5980","0",""
"R25","10K","TopLayer","RESC3116X65N","61.7220","75.9460","270",""
"R42","10K","TopLayer","RESC3116X65N","59.1820","97.1550","90",""
"Q13","TSM4NB65CH_C5G","TopLayer","TO228P680X240X837-3","133.4770","109.0930","90","650V, 4A, Single N-Channel Power MOSFET"
"C61","1nF","TopLayer","CAPC1608X90N","60.4520","93.5990","0","Multilayer Ceramic Capacitors MLCC - SMD/SMT"
"C58","0.1µF","TopLayer","CAPC1608X90N","72.5170","88.7730","270","Multilayer Ceramic Capacitors MLCC - SMD/SMT"
"C60","0.1µF","TopLayer","CAPC1608X90N","68.3260","82.4230","90","Multilayer Ceramic Capacitors MLCC - SMD/SMT"
"C59","1nF","TopLayer","CAPC1608X90N","60.4520","79.5020","180","Multilayer Ceramic Capacitors MLCC - SMD/SMT"
"R81","10K","BottomLayer","RESC3116X65N","115.0620","86.4870","90",""
"R85","10K","BottomLayer","RESC3116X65N","98.9330","78.6130","90",""
"R79","10K","BottomLayer","RESC3116X65N","98.9330","86.4870","90",""
"R77","10K","BottomLayer","RESC3116X65N","82.9310","86.5310","90",""
"R86","10K","BottomLayer","RESC3116X65N","107.0610","78.7400","90",""
"R80","10K","BottomLayer","RESC3116X65N","107.0610","86.4870","90",""
"R73","5.6K","BottomLayer","RESC3116X65N","94.9960","80.2640","180",""
"R70","5.6K","BottomLayer","RESC3116X65N","119.1260","88.1380","180",""
"R76","5.6K","BottomLayer","RESC3116X65N","119.1260","80.2640","180",""
"R68","5.6K","BottomLayer","RESC3116X65N","102.9970","88.0110","180",""
"R46","5.6K","BottomLayer","RESC3116X65N","79.1210","88.0110","180",""
"R87","10K","BottomLayer","RESC3116X65N","115.0620","78.7400","90",""
